,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
185,"@HoustonRockets @TitosVodka NBA record for most points in a season is 4,029 (by Wilt Chamberlain). Best result of a‚Ä¶ https://t.co/gx5vjX3ART",FALSE,0,HoustonRockets,2/2/18 21:06,TRUE,9.59532E+17,9.59533E+17,19077044,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",kjnbareports,0,FALSE,FALSE,NA,NA
186,RT @SportsOnTheGo1: Sportsonthego1 3rd and Long Speedy Pete #superbowl52 #nba #mlb https://t.co/lDbptY5XLG,FALSE,0,NA,2/2/18 21:05,FALSE,NA,9.59533E+17,NA,"<a href=""https://periscope.tv"" rel=""nofollow"">Periscope</a>",MsFutureLatosha,1,TRUE,FALSE,NA,NA
187,"RT @OnTheRotoRadar: OTRR COUNTDOWN: 1 hour!

Get ready for the best #NBA #DFS pod in the industry!

Today @RotoRadarCEO and @ericsports are‚Ä¶",FALSE,0,NA,2/2/18 21:05,FALSE,NA,9.59533E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",DFSJorgy12,7,TRUE,FALSE,NA,NA
188,"RT @GSSportsTweets: WOW @ today‚Äôs #NBA news... Ladies and gentlemen, Greg Monroe is now a Boston Celtic! https://t.co/hyvszyuWjh",FALSE,0,NA,2/2/18 21:05,FALSE,NA,9.59533E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",blvckthegoat,5,TRUE,FALSE,NA,NA
189,RT @NBAJPN: „Ç¥„É©„É≥„Éª„Éâ„É©„ÇÆ„ÉÉ„ÉÅ„Åå„Ç±„Éì„É≥„Éª„É©„Éñ„Å´‰ª£„Çè„Çä„Ç™„Éº„É´„Çπ„Çø„Éº„Ç≤„Éº„É†„Å´‰ª£ÊõøÂá∫Â†¥ #NBA #NBAjp https://t.co/9r6kd6Aiml,FALSE,0,NA,2/2/18 21:05,FALSE,NA,9.59533E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",BoB71017stephan,76,TRUE,FALSE,NA,NA
190,7 #NBA Players With Crazy Phobias https://t.co/PCRZAJXXve https://t.co/fLBFTld7WL,FALSE,0,NA,2/2/18 21:05,FALSE,NA,9.59533E+17,NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>",NBA_Mixes,0,FALSE,FALSE,NA,NA
191,Sportsonthego1 3rd and Long Speedy Pete #superbowl52 #nba #mlb https://t.co/lDbptY5XLG,FALSE,0,NA,2/2/18 21:05,FALSE,NA,9.59533E+17,NA,"<a href=""https://periscope.tv"" rel=""nofollow"">Periscope</a>",SportsOnTheGo1,1,FALSE,FALSE,NA,NA
192,"Ì†ΩÌ¥•Championnat 3vs3 Ì†ΩÌ¥•

Ì†ΩÌ≤Ø 10 √©quipes inscrites !
Ì†ΩÌ≥Ö Le championnat commence !

‚ÑπÔ∏è Tous les d√©tails sur le #2kChamp3on3‚Ä¶ https://t.co/nogY1nBntm",FALSE,0,NA,2/2/18 21:05,TRUE,NA,9.59533E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NBA2k_Fr,0,FALSE,FALSE,NA,NA
193,#ViernesDeGanarSeguidores #SIGUEMEYTESIGO #Folloback #SabadoDeGanarSeguidores Feliz Fin de Semana #3Feb‚Ä¶ https://t.co/CorvGzTlHH,FALSE,0,NA,2/2/18 21:05,TRUE,NA,9.59533E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",BaseSoftCCS,0,FALSE,FALSE,NA,NA
194,RT @sportsbetaid: Free sports betting picks and recent trends on Friday - https://t.co/xufFFjWXd6 #NBA #NBApicks #CollegeBasketball #Colleg‚Ä¶,FALSE,0,NA,2/2/18 21:05,FALSE,NA,9.59533E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",OneSharpSquare,1,TRUE,FALSE,NA,NA
195,#nba #injury Tony Allen is now Day-To-Day! Comment: day-to-day,FALSE,0,NA,2/2/18 21:05,FALSE,NA,9.59533E+17,NA,"<a href=""http://twitter.com/nbawojbot"" rel=""nofollow"">NBAWOJApp</a>",nbawojbot,0,FALSE,FALSE,NA,NA
196,#nba #injury Omer Asik is now Day-To-Day! Comment: day-to-day,FALSE,0,NA,2/2/18 21:05,FALSE,NA,9.59533E+17,NA,"<a href=""http://twitter.com/nbawojbot"" rel=""nofollow"">NBAWOJApp</a>",nbawojbot,0,FALSE,FALSE,NA,NA
197,#nba #injury Jameer Nelson is now Day-To-Day! Comment: day-to-day,FALSE,0,NA,2/2/18 21:05,FALSE,NA,9.59533E+17,NA,"<a href=""http://twitter.com/nbawojbot"" rel=""nofollow"">NBAWOJApp</a>",nbawojbot,0,FALSE,FALSE,NA,NA
198,"#nba #injury Willie Cauley-Stein is now Day-To-Day! Comment: Cauley-Stein (knee) is probable for Friday's game against the Warriors, James",FALSE,0,NA,2/2/18 21:05,FALSE,NA,9.59533E+17,NA,"<a href=""http://twitter.com/nbawojbot"" rel=""nofollow"">NBAWOJApp</a>",nbawojbot,0,FALSE,FALSE,NA,NA
199,"Podcast @NBA2600mts |

SoundCloud: https://t.co/niryPTWjGk
iVoox: https://t.co/LUc5Uoph7n
Spreaker:‚Ä¶ https://t.co/I4t8EJiy0W",FALSE,0,NA,2/2/18 21:05,TRUE,NA,9.59533E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",yankeerolo,0,FALSE,FALSE,NA,NA
200,"RT @camisa_23: Passando pra avisar que sexta-feira √© dia de rodada cheia na #NBA!!! E como de costume teremos duas transmiss√µes na ESPN, de‚Ä¶",FALSE,0,NA,2/2/18 21:04,FALSE,NA,9.59533E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",gpnunes10,3,TRUE,FALSE,NA,NA
201,RT @hispanosnba: Los Spurs podr√≠an estar interesados en Willy Hernang√≥mez https://t.co/iXewVoXuGj #NBA,FALSE,0,NA,2/2/18 21:04,FALSE,NA,9.59533E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",pedroSanchez233,3,TRUE,FALSE,NA,NA
202,Must read for #nba fans https://t.co/Jtyta0F0Ya,FALSE,0,NA,2/2/18 21:04,FALSE,NA,9.59533E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",belowtherimpod,0,FALSE,FALSE,NA,NA
203,RT @Wapa2Deportes: #NBAxWapa2 esta noche #NBA https://t.co/2ktN2kMj80,FALSE,0,NA,2/2/18 21:04,FALSE,NA,9.59533E+17,NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows</a>",fwpipo,2,TRUE,FALSE,NA,NA
204,"Pron√≥sticos para esta jornada de #nba
Victoria de Indiana, Lakers y Portland
Totales
LAL - BKN - 216,5
POR - TOR -‚Ä¶ https://t.co/vXupRTjsW5",FALSE,0,NA,2/2/18 21:04,TRUE,NA,9.59533E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Bsktapuestas,0,FALSE,FALSE,NA,NA
205,@NBA @ESPNNBA @MiamiHEAT @sixers @warriors @SacramentoKings The @warriors have won 15 of their last 17 regular seas‚Ä¶ https://t.co/aZTPAuattR,FALSE,0,NBA,2/2/18 21:04,TRUE,9.59532E+17,9.59533E+17,19923144,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",kjnbareports,0,FALSE,FALSE,NA,NA
206,Due to a scheduling conflict my podcast won't be dropping this week. Sorry for anyone looking for it today. We will‚Ä¶ https://t.co/7eGWoUgKba,FALSE,1,NA,2/2/18 21:04,TRUE,NA,9.59533E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",LuckyDogsDFS,0,FALSE,FALSE,NA,NA
207,#NBA: Blake Griffin de #ItTakesEverything a #DetroitBasketball!. Debuto anoche: 24 pts / 10 asi / 5 reb / 1 rob!. https://t.co/BMiTjPgPv8,FALSE,0,NA,2/2/18 21:04,FALSE,NA,9.59533E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AllSportsPy,0,FALSE,FALSE,NA,NA
208,"RT @nbaextra: ‚≠ê Votre programme #NBA  
‚û°Ô∏è beIN SPORTS 1
Ì†ºÌøÄ 1H30 Indiana @ Charlotte https://t.co/Sc9j6NSeCn",FALSE,0,NA,2/2/18 21:04,FALSE,NA,9.59533E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",melois_nathan,10,TRUE,FALSE,NA,NA
209,"#VIP #Picks for February 2
#FreePick
#NBA #Basketball
#Jazz @ #Suns | #Beton UNDER 101 on the first half.‚Ä¶ https://t.co/Diwj054vp6",FALSE,1,NA,2/2/18 21:03,TRUE,NA,9.59533E+17,NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",thejohnnyoats,0,FALSE,FALSE,NA,NA
210,#Basquet|#NBA| Hoy juegan los @nyknicks vs los @Bucks quien ganar√°? #Knicks #FearTheDeer,FALSE,0,NA,2/2/18 21:03,FALSE,NA,9.59533E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NoticiasNBA3,0,FALSE,FALSE,NA,NA
211,Que franquicia de mierda. #NBA https://t.co/f0XXhMKI3m,FALSE,0,NA,2/2/18 21:03,FALSE,NA,9.59533E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AgusRockstain,0,FALSE,FALSE,NA,NA
212,Free sports betting picks and recent trends on Friday - https://t.co/xufFFjWXd6 #NBA #NBApicks #CollegeBasketball‚Ä¶ https://t.co/KziSZWuBQN,FALSE,2,NA,2/2/18 21:03,TRUE,NA,9.59533E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",sportsbetaid,1,FALSE,FALSE,NA,NA
213,"RT @OnTheRotoRadar: OTRR COUNTDOWN: 1 hour!

Get ready for the best #NBA #DFS pod in the industry!

Today @RotoRadarCEO and @ericsports are‚Ä¶",FALSE,0,NA,2/2/18 21:03,FALSE,NA,9.59533E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Jriemer61,7,TRUE,FALSE,NA,NA
214,Solid time with @BlackAndOutside aka Miles on today‚Äôs podcast. We covered EVERYTHING #NBA. Quick back-to-back for W‚Ä¶ https://t.co/F0CgBaQfVF,FALSE,0,NA,2/2/18 21:03,TRUE,NA,9.59533E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",kogitare,0,FALSE,FALSE,NA,NA
215,Liukin resigns as U.S. gymnastics coordinator https://t.co/4mOsFBNyLi Via @ESPN‚úîÔ∏è#Sports #NFL #NBA #MLB #NCAAF #NHL,FALSE,0,NA,2/2/18 21:03,FALSE,NA,9.59533E+17,NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",stevenacurtis,0,FALSE,FALSE,NA,NA
216,"RT @Hoops_Bucks: Bucks Rumors: O‚ÄôQuinn, Dellavedova, Vaughn https://t.co/58Jqblj4he #bucks #nba",FALSE,0,NA,2/2/18 21:03,FALSE,NA,9.59533E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Robert_Z77,1,TRUE,FALSE,NA,NA
217,#NBA'de sezonun en √ßok 3'l√ºk isabet bulan oyuncularƒ±! https://t.co/pW5BAgK4WP,FALSE,29,NA,2/2/18 21:03,FALSE,NA,9.59533E+17,NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",NBATurkiye,1,FALSE,FALSE,NA,NA
218,"RT @OnTheRotoRadar: OTRR COUNTDOWN: 1 hour!

Get ready for the best #NBA #DFS pod in the industry!

Today @RotoRadarCEO and @ericsports are‚Ä¶",FALSE,0,NA,2/2/18 21:03,FALSE,NA,9.59533E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RotoRadarRiemer,7,TRUE,FALSE,NA,NA
219,#NBA | LeBron James rompe el silencio y califica el rumor que desat√≥ ESPN sobre los Warriors como ‚Äútonter√≠as‚Äù Ì†ΩÌ±•Ì†ΩÌ∑£‚Ä¶ https://t.co/cpIS6UVOFq,FALSE,0,NA,2/2/18 21:03,TRUE,NA,9.59533E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",sportologyblog,0,FALSE,FALSE,NA,NA
220,"RT @hawksbet: **** FREE PICKS ****

RETWEET AND I'LL SEND YOU THE PICKS

Follow us!!

#SPORTSBETTING #FREEPICKS #NHL #NBA¬†¬†¬†¬†¬†¬†¬†¬†¬†¬†¬†¬†¬†¬†¬†¬†¬†¬†‚Ä¶",FALSE,0,NA,2/2/18 21:03,FALSE,NA,9.59533E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",luck_send,160,TRUE,FALSE,NA,NA
221,.@StephensonLance told me after shoot around that fans can expect a song from him and #NBAAllStar @VicOladipo after‚Ä¶ https://t.co/VwEIW5oFwy,FALSE,3,NA,2/2/18 21:02,TRUE,NA,9.59533E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",AshNoelleTV,0,FALSE,FALSE,NA,NA
222,"RT @OnTheRotoRadar: OTRR COUNTDOWN: 1 hour!

Get ready for the best #NBA #DFS pod in the industry!

Today @RotoRadarCEO and @ericsports are‚Ä¶",FALSE,0,NA,2/2/18 21:02,FALSE,NA,9.59533E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",TheRotoRadar,7,TRUE,FALSE,NA,NA
223,"RT @BrianSwane: Lineup for @Basketball_Show on @TSN1260 10-noon MT Saturday:

- 1987 &amp; 1988 #NBA champion Mike Smrek
- all-time @USPORTSca‚Ä¶",FALSE,0,NA,2/2/18 21:02,FALSE,NA,9.59533E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",MacEwanGriffins,3,TRUE,FALSE,NA,NA
224,RT @otgbasketball: ICYMI: The NBA Outlet Express: BLAKE GRIFFIN TRADED - https://t.co/vIFgQeUonq #NBA #Clippers #Pistons #BlakeGriffin,FALSE,0,NA,2/2/18 21:02,FALSE,NA,9.59533E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",KWalHoops,1,TRUE,FALSE,NA,NA
225,"RT @All_SportNews: OHHH NO!! Steven Adams! 
NASTY CROSSOVER! Ì†ΩÌ∏±
#NBA https://t.co/anzBa2HtGt",FALSE,0,NA,2/2/18 21:02,FALSE,NA,9.59533E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",bryabreu99,1,TRUE,FALSE,NA,NA
226,"2018 NBA Luxury Suites For Sale , Single Event Rentals, Sporting Events and Concerts #Suitelife #NBA #Courtside #BoxSeats",FALSE,0,NA,2/2/18 21:02,FALSE,NA,9.59532E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",NBASuites,0,FALSE,FALSE,NA,NA
227,The Celtics is trying to win now #Nba,FALSE,1,NA,2/2/18 21:02,FALSE,NA,9.59532E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NateyBall,1,FALSE,FALSE,NA,NA
228,Check out the first episode of the Young Gunz podcast (Gunz with a Z) with @adonis_dees and @lukewright421. The two‚Ä¶ https://t.co/LNfdOBwBKs,FALSE,4,NA,2/2/18 21:02,TRUE,NA,9.59532E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",FRSHoopz,2,FALSE,FALSE,NA,NA
229,"RT @nbaextra: ‚≠ê Votre programme #NBA  
‚û°Ô∏è beIN SPORTS 1
Ì†ºÌøÄ 1H30 Indiana @ Charlotte https://t.co/Sc9j6NSeCn",FALSE,0,NA,2/2/18 21:02,FALSE,NA,9.59532E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",GuillaumeSolier,10,TRUE,FALSE,NA,NA
230,"RT @diarioas: #NBA | ¬°Greg Monroe a los Celtics! El pivot firma por 5 millones

https://t.co/KMMCtvio3I",FALSE,0,NA,2/2/18 21:02,FALSE,NA,9.59532E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",eddie14jackson,3,TRUE,FALSE,NA,NA
231,"#TopValuePlays
C: Tyson Chandler #PHO
CPP:$227.94
Avg FPS: 21.06
Todays Bargin Players: https://t.co/xzq3JU8Uxm
#DFS #Fanduel #NBA",FALSE,0,NA,2/2/18 21:02,FALSE,NA,9.59532E+17,NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>",jamesabaileyjr,0,FALSE,FALSE,NA,NA
232,#Basquet|#NBA| Hoy juegan los @MiamiHEAT vs los @sixers quien ganar√°? #HeatCulture #HereTheyCome,FALSE,0,NA,2/2/18 21:02,FALSE,NA,9.59532E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NoticiasNBA3,0,FALSE,FALSE,NA,NA
233,LIVE: #VozDelFanatico2/2/2018 on #spreaker #mlb #nba #nfl #vozdelfanatico2 https://t.co/eRlyMVegq2,FALSE,1,NA,2/2/18 21:02,FALSE,NA,9.59532E+17,NA,"<a href=""http://www.spreaker.com"" rel=""nofollow"">Spreaker</a>",vozdelfanatico,0,FALSE,FALSE,NA,NA
234,"RT @five_pronos: #NBA 

Ì†ºÌæü Game : Miami Heat - Philadelphia 76ers 

Ì†ºÌæØ +19,5 tirs √† 3 points marqu√©s @ 1,74 | 0,5% 

‚ÑπÔ∏è De belles rotations √†‚Ä¶",FALSE,0,NA,2/2/18 21:02,FALSE,NA,9.59532E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Hoops_Pronos,1,TRUE,FALSE,NA,NA
235,ICYMI: The NBA Outlet Express: BLAKE GRIFFIN TRADED - https://t.co/vIFgQeUonq #NBA #Clippers #Pistons #BlakeGriffin,FALSE,0,NA,2/2/18 21:02,FALSE,NA,9.59532E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",otgbasketball,1,FALSE,FALSE,NA,NA
236,"RT @SpectrumSN: They #LetLarryDunk‚ÄºÔ∏è

@Larrydn22 will officially be in the 2018 #NBA Slam Dunk Contest. Ì†ΩÌπåÌ†ΩÌ∏Ü https://t.co/Pd8BGfqkFG",FALSE,0,NA,2/2/18 21:01,FALSE,NA,9.59532E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Brihan_Ale,38,TRUE,FALSE,NA,NA
237,Thomas Bryant and Alex Caruso Named to Midseason All-#NBA G League Team https://t.co/1OYYBJ6ZY3,FALSE,0,NA,2/2/18 21:01,FALSE,NA,9.59532E+17,NA,"<a href=""http://lakers.topbuzz.com/"" rel=""nofollow"">Repped Post Tweet</a>",LakersNewsApp,0,FALSE,FALSE,NA,NA
238,"Danny Ainge Strikes Again

Greg Monroe for only $5M is without a doubt a steal in my humble opinion.....

#NBA
#CELTICS
#GregMonroe ‚òòÔ∏è",FALSE,14,NA,2/2/18 21:01,FALSE,NA,9.59532E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",BF6NEPats,4,FALSE,FALSE,NA,NA
239,"Check out previews of all PDFs‚¨áÔ∏è‚¨áÔ∏è

https://t.co/EAClQNGCU7

#basketball
#nba https://t.co/5FEXObUkAq",FALSE,0,NA,2/2/18 21:01,FALSE,NA,9.59532E+17,NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>",joebloggsbball,0,FALSE,FALSE,NA,NA
240,RT @dfs_nick: Tonights #NBA #Fanduel #Lineup will be posted at 6:45 EST! Tonight is the night! Ì†ΩÌ¥•Ì†ΩÌ≤∞Ì†ºÌøÄ #LetsRoll,FALSE,0,NA,2/2/18 21:01,FALSE,NA,9.59532E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",WolfKlanInc,3,TRUE,FALSE,NA,NA
241,"#NBA 

Ì†ΩÌ¥∞Toronto +3,5 (1%)
‚û° 1.40

Ì†ΩÌ¥∞ Utah OT  (1%)
‚û°1.43

Combi (0,25%)
‚û° 2.00",FALSE,0,NA,2/2/18 21:01,FALSE,NA,9.59532E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Saiyen_Prono,0,FALSE,FALSE,NA,NA
242,"RT @hawksbet: **** FREE PICKS ****

RETWEET AND I'LL SEND YOU THE PICKS

Follow us!!

#SPORTSBETTING #FREEPICKS #NHL #NBA¬†¬†¬†¬†¬†¬†¬†¬†¬†¬†¬†¬†¬†¬†¬†¬†¬†¬†‚Ä¶",FALSE,0,NA,2/2/18 21:01,FALSE,NA,9.59532E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",mdealcarguy,160,TRUE,FALSE,NA,NA
243,DraftKings: 3 #NBA daily fantasy sleepers for February 2 https://t.co/p2lXDuZPHw -- @KennyLChapman via @HoopsHabit https://t.co/m7yHTHpJ0n,FALSE,0,NA,2/2/18 21:01,FALSE,NA,9.59532E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HoopsHabit,0,FALSE,FALSE,NA,NA
244,"RT @All_SportNews: Ì†ΩÌ∞ç vs Ì†æÌ¥¥Ì†ºÌøæ

La Final de la #NBA que merec√≠amos, pero nunca lleg√≥. Ì†ΩÌ∏û https://t.co/MlwbVqbXIR",FALSE,0,NA,2/2/18 21:00,FALSE,NA,9.59532E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MaxwellTrey5,14,TRUE,FALSE,NA,NA
245,"RT @OnTheRotoRadar: OTRR COUNTDOWN: 1 hour!

Get ready for the best #NBA #DFS pod in the industry!

Today @RotoRadarCEO and @ericsports are‚Ä¶",FALSE,0,NA,2/2/18 21:00,FALSE,NA,9.59532E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Steady824,7,TRUE,FALSE,NA,NA
246,#NBA #video NBATV Update: 3 Pointers at 3p - Beau Estes delivers Friday's NBA TV updates. https://t.co/csmopjAbTp,FALSE,0,NA,2/2/18 21:00,FALSE,NA,9.59532E+17,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",xtbball,0,FALSE,FALSE,NA,NA
247,#NBA #video High Tops Top 10 Moves - Ro Parrish counts down the Top 10 Moves from January. https://t.co/JBzShJSdtY,FALSE,0,NA,2/2/18 21:00,FALSE,NA,9.59532E+17,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",xtbball,0,FALSE,FALSE,NA,NA
248,"RT @bballbreakdown: I released a video on how #NBA stars rest on defense, starring the culprit on this game winner https://t.co/DatqSGf9mh‚Ä¶",FALSE,0,NA,2/2/18 21:00,FALSE,NA,9.59532E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",thethrillyo,78,TRUE,FALSE,NA,NA
249,"Isaiah Thomas will never be the same player he was last season, but to give up on him this early is just ridiculous‚Ä¶ https://t.co/WSPmTZglT0",FALSE,0,NA,2/2/18 21:00,TRUE,NA,9.59532E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Nash_TP,0,FALSE,FALSE,NA,NA
250,#guaranteedpick #NBA 02/02 (807) LA Lakers vs. (808) Brooklyn  #sportspicks #expertpicks #sportsbetting https://t.co/t7RgHBSjZN,FALSE,0,NA,2/2/18 21:00,FALSE,NA,9.59532E+17,NA,"<a href=""https://www.sportswatchmonitor.com"" rel=""nofollow"">SWM Automated Tweets For Members</a>",SportsWatch1,0,FALSE,FALSE,NA,NA